B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,M1,M2,M3,M4,M5,M6,M7,M8,B_mean,R_mean,M_mean,SMB_ENT,Q4_OrgSize
2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,1.4444444444444444,4.647058823529412,4.375,1,<100
4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,2.0,4.0,4.0,3.0,3.0,4.0,3.0,1.0,1.0,,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,,3.0,1.0,2.0,2.0,,,,1,100-499
1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,5.0,3.0,1.0,2.0,2.0,5.0,2.0,1.0,4.0,5.0,4.0,2.0,,3.0,3.0,2.0,5.0,3.0,5.0,,3.0,5.0,,2.0,3.0,4.0,3.0,3.0,5.0,3.0,2.0,,,2,10000+
3.0,3.0,1.0,2.0,1.0,4.0,3.0,1.0,4.0,2.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,2.2222222222222223,1.8823529411764706,2.375,1,<100
2.0,2.0,1.0,3.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,1.8888888888888888,3.411764705882353,3.125,2,1000-4999
2.0,3.0,2.0,2.0,2.0,4.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,2.2222222222222223,2.764705882352941,3.0,1,500-999
2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,1.8333333333333333,3.5294117647058822,3.25,2,1000-4999
1.0,3.0,5.0,3.0,1.0,4.0,5.0,1.0,3.0,4.0,4.0,5.0,5.0,5.0,3.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,1.0,3.0,2.0,4.0,3.0,1.0,3.0,2.0,4.0,1.0,3.0,2.0,2.0,3.0,1.0,2.0,3.2777777777777777,2.2941176470588234,2.25,2,5000-9999
3.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,4.0,2.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,3.7222222222222223,2.235294117647059,2.0,2,5000-9999
4.0,4.0,4.0,3.0,3.0,1.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,2.0,5.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,2.7222222222222223,3.0,2.625,1,100-499
2.0,1.0,1.0,2.0,2.0,3.0,5.0,4.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,4.0,3.0,1.0,5.0,4.0,4.0,5.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,5.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,2.0,4.0,4.0,4.0,2.3333333333333335,3.588235294117647,3.25,1,500-999
4.0,3.0,3.0,5.0,4.0,,,4.0,4.0,5.0,3.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,4.0,3.0,1,500-999
2.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,3.0,1.0,1.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,1.7222222222222223,3.411764705882353,3.125,2,1000-4999
1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,4.0,5.0,4.0,5.0,5.0,3.0,3.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,1.5,4.235294117647059,4.5,1,100-499
1.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,2.8333333333333335,3.0,3.5,2,5000-9999
3.0,2.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.9444444444444446,2.764705882352941,2.625,1,100-499
3.0,3.0,2.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,5.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.5,3.411764705882353,3.75,2,1000-4999
2.0,2.0,1.0,3.0,5.0,4.0,3.0,1.0,3.0,3.0,2.0,2.0,5.0,5.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0,2.8333333333333335,3.6470588235294117,4.0,1,500-999
